ID,Name,Description,Category
CS04b,Accusative Alignment of Verbal Marking,"In an accusative system of verb agreement, features of the more
agent-line NP argument of a two-place transitive predicate and features
of the core NP argument of a one-place intransitive predicate are
reflected in the same way in verbal morphology. A positive value is
given if this is the case in any tense-aspect category of the language
system. An example is Khowar, as seen in (1). In (1a), the verb shows
agreement in third person singular with the core NP of the intransitive
clause. In (1b), the verb shows agreement in third person plural with
the core NP of the intransitive clause. In (1c), the verb shows
agreement in third person singular with the subject NP of the transitive
clause. In (1d), the verb shows agreement in third person plural with
the subject NP of the transitive clause.

(1) <span id=""_Ref531867975"" class=""anchor""></span>Khowar <span
id=""_Ref51167911"" class=""anchor""></span>\[khw\] (Indo-Aryan)

| a.  | **pʰuk**                                    | **kumoːru ** | oːs-it-**aj**                                               |     |     |     |
|-----|---------------------------------------------|--------------|-------------------------------------------------------------|-----|-----|-----|
|     | small                                       | girl         | laugh-<span style=""font-variant:small-caps;"">pst-3sg</span> |     |     |     |
|     | **S**                                       |              |                                                             |     |     |     |
|     | ‘The little girl laughed.’ (KHW-Val-AA:057) |

| b.  | **moːɕ**(-an)                                          | kan-tu                                                 | us-it-**aːni**                                              |     |     |
|-----|--------------------------------------------------------|--------------------------------------------------------|-------------------------------------------------------------|-----|-----|
|     | man-(<span style=""font-variant:small-caps;"">pl</span>) | tree-<span style=""font-variant:small-caps;"">loc</span> | climb-<span style=""font-variant:small-caps;"">pst-3pl</span> |     |     |
|     | **S**                                                  |                                                        |                                                             |     |     |
|     | ‘The men climbed up the tree.’ (KHW-Val-AA:048)        |

| c.  | **kumoːru**                                                  | tan                                                | waw-o                                                         | te  | gamburij-an                                                 | anzeː-t-**aj**                                             |
|-----|--------------------------------------------------------------|----------------------------------------------------|---------------------------------------------------------------|-----|-------------------------------------------------------------|------------------------------------------------------------|
|     | girl                                                         | <span style=""font-variant:small-caps;"">refl</span> | grandmother-<span style=""font-variant:small-caps;"">obl</span> | to  | flower-<span style=""font-variant:small-caps;"">obl.pl</span> | send-<span style=""font-variant:small-caps;"">pst-3sg</span> |
|     | **A**                                                        |                                                    |                                                               |     | P                                                           |                                                            |
|     | ‘The girl sent flowers to her grandmother.’ (KHW-Val-AA:037) |

| d.  | **moːɕ-an**                                           | dar-aːr                                                | duːr  | sawzeː-t-**ani**                                           |     |
|-----|-------------------------------------------------------|--------------------------------------------------------|-------|------------------------------------------------------------|-----|
|     | man-<span style=""font-variant:small-caps;"">pl</span>  | wood-<span style=""font-variant:small-caps;"">abl</span> | house | make-<span style=""font-variant:small-caps;"">pst-3pl</span> |     |
|     | **A**                                                 |                                                        | P     |                                                            |     |
|     | ‘The men built a house out of wood.’ (KHW-Val-AA:024) |

This feature is a majority feature, evidenced in the entire region
(whether as the only alignment pattern, or in addition to an ergative
alignment pattern) except for the far east, where the Sino-Tibetan
sample languages lack agreement marking on verbs altogether.",Clause structure
CS05,Non-Nominative Experiencer,"The use of a case form or construction other than the basic/direct or
nominative as a subject to encode a noun phrase as an experiencer was
investigated. In Kashmiri of India, as seen in (1), the experiencer of
the sensation of coldness is expressed as a recipient, with the first
person pronoun form used for dative and ergative alike.

(1) <span id=""_Ref531867975"" class=""anchor""></span>Kashmiri, India <span
id=""_Ref51167911"" class=""anchor""></span>\[kas(i)\] (Indo-Aryan)

| **me**                                                | lədʑ                                                         | tɨːr       |     |     |     |
|-------------------------------------------------------|--------------------------------------------------------------|------------|-----|-----|-----|
| <span style=""font-variant:small-caps;"">1sg.dat</span> | strike.<span style=""font-variant:small-caps;"">pst.fsg</span> | cold(ness) |     |     |     |
| ‘I feel cold.’ (KASi-Val-AN:060)                      |

In Aret Pashai, as in (2), the experiencer is expressed as the possessor
of the stimulus, i.e. the ‘cold’ or the ‘coldness’, the NP itself
appearing as the object of the transitive verb ‘to do’, the latter
lacking an explicit subject.

(1) <span id=""_Ref51229717"" class=""anchor""></span>Aret Pashai
\[aee(at)\] (Indo-Aryan)

| eːɕ-**əm**                                                        | kər-iː                                                   |     |     |     |     |
|-------------------------------------------------------------------|----------------------------------------------------------|-----|-----|-----|-----|
| cold(ness)-<span style=""font-variant:small-caps;"">1sg.poss</span> | do.<span style=""font-variant:small-caps;"">prs-3sg</span> |     |     |     |     |
| ‘I feel cold.’ (AEEat-Val-HH:060)                                 |

This feature was evidenced in approximately half of the sample. However,
this is not to say that it could not be expressed non-nominatively in
the languages given a negative value.",Clause structure
CS06a,Occurrence of Theme=Patient (Indirect Object Construction),"The occurrence of an indirect object construction was investigated, that
is: whether the theme of a ditransitive verb is treated like the patient
of a mono-transitive verb, whereas the recipient is given a different
treatment. In Darwazi, as seen in (1), the patient in the
mono-transitive clause (1a) is coded with the postpositional direct
object clitic *=ra*, which is the same coding as the theme in the
ditransitive clause (1b) receives, whereas the recipient is coded with
the preposition *baj* ‘to’.

(1) <span id=""_Ref12281344"" class=""anchor""></span>Darwazi
\[prs(d)\] (Iranian)

| a.  | batʃa                                      | miːwa=**ra**                                                    | bəχəwr                                                |     |
|-----|--------------------------------------------|-----------------------------------------------------------------|-------------------------------------------------------|-----|
|     | \[boy\]                                    | \[fruit=<span style=""font-variant:small-caps;"">obj**\]**</span> | eat.<span style=""font-variant:small-caps;"">pst</span> |     |
|     | A                                          | P                                                               |                                                       |     |
|     | ‘The boy ate the fruit.’ (PRSd-Val-ML:001) |

| b.  | dəχtar-ɑː                                                      | aks-ɑː=**ra**                                                    | **baj ** | maːlim-a                                                   | nəʃuː | dɑː-n                                                      |
|-----|----------------------------------------------------------------|------------------------------------------------------------------|----------|------------------------------------------------------------|-------|------------------------------------------------------------|
|     | \[girl-<span style=""font-variant:small-caps;"">pl\]</span>      | \[picture-<span style=""font-variant:small-caps;"">pl=obj\]</span> | \[to     | teacher-<span style=""font-variant:small-caps;"">pl\]</span> | sign  | give.<span style=""font-variant:small-caps;"">pst-3pl</span> |
|     | A                                                              | T                                                                | R        |                                                            |       |                                                            |
|     | ‘The girls showed pictures to the teachers.’ (PRSd-Val-ML:035) |

This feature was evidenced (as the only possible construction or as a
construction in addition to other constructions) in almost all the
languages in the sample. For the remaining languages, it was not
possible to determine whether the construction is possible based on the
present data set.",Clause structure
CS06b,Occurrence of Recipient=Patient (Secondary Object Construction),"The occurrence of a secondary object construction was investigated, that
is: whether the recipient of a ditransitive verb is treated like the
patient of a mono-transitive verb, whereas the theme is given a
different treatment. In Gojri of Pakistan, as seen in (1), the patient
in the mono-transitive clause (1a) is coded with the postpositional
dative clitic *=naː*, which is the same coding as the recipient in the
ditransitive clause (1b) receives, whereas the theme occurs without any
explicit case marking.

(1) <span id=""_Ref12281344"" class=""anchor""></span>Gojri, Pakistan
\[gju(p)\] (Indo-Aryan)

| a.  | dʑəɳaː=neː                                                                                                  | duɕməɳ=naː                                                  | ɖənɖaː | naːl | maːr-ij-uː                                                 |
|-----|-------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------|--------|------|------------------------------------------------------------|
|     | \[man.<span style=""font-variant:small-caps;"">obl</span>=<span style=""font-variant:small-caps;"">erg\]</span> | \[enemy=<span style=""font-variant:small-caps;"">dat\]</span> | club   | with | kill-<span style=""font-variant:small-caps;"">pfv-msg</span> |
|     | A                                                                                                           | P                                                           |        |      |                                                            |
|     | ‘The man killed his enemy with a club.’ (GJUp-Val-RN:026)                                                   |

| b.  | gədri-jãː=neː                                                                                                   | apɳ-aː                                                       | ustaːd=naː                                                  | fuːʈuː      | das-ij-aː                                                  |     |
|-----|-----------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------|-------------------------------------------------------------|-------------|------------------------------------------------------------|-----|
|     | \[girl.<span style=""font-variant:small-caps;"">obl.pl</span>=<span style=""font-variant:small-caps;"">erg\]</span> | <span style=""font-variant:small-caps;"">\[refl-obl.msg</span> | teacher=<span style=""font-variant:small-caps;"">dat\]</span> | \[picture\] | show-<span style=""font-variant:small-caps;"">pfv-mpl</span> |     |
|     | A                                                                                                               | R                                                            |                                                             | T           |                                                            |     |
|     | ‘The girls showed pictures to the teacher.’ (GJUp-Val-RN:035)                                                   |

This feature was evidenced in a minority of the languages in the sample,
although for a fair number of the languages the evidence was
non-conclusive as far as the present data set is concerned.",Clause structure
CS06c,Occurrence of Theme=Recipient (Double Object Construction),"The occurrence of a double object construction was investigated, that
is: whether both the recipient and the theme of a ditransitive verb are
treated like the patient of a mono-transitive verb. Although it cannot
be entirely excluded, there is no clear example in the present data set
of that construction type, if both NP marking and verbal agreement are
taken into account. See Occurrence of Recipient=Patient and Occurrence
of Theme=Patient for construction types observed in ditransitive
clauses. This feature would deserve a more thorough investigation.",Clause structure
CS07,P-A Agreement Order,"The occurrence of verb agreement reflecting the order P (the more
patient-like argument) followed by A (the more agent-like argument) was
investigated. The presence of this features presupposes simultaneous
agreement with the A argument and the P argument in at least one
tense-aspect category. Hunza Burushaski is an example of this agreement
pattern, as seen in (1). The verb agrees in person, number and gender,
with the P argument by means of a prefix, and with the A argument by
means of a suffix. Burushaski has a four-gender system, in which the
genders traditionally are labelled as HF (human female), HM (human
male), X (a non-human gender), and Y (another non-human gender).

(1) <span id=""_Ref12281344"" class=""anchor""></span>Hunza Burushaski
\[bsk(h)\] (isolate)

| a.  | hileːs-eːj                                            | dasin | tʰan | **muː**-ti-m-**i**                                                                                               |
|-----|-------------------------------------------------------|-------|------|------------------------------------------------------------------------------------------------------------------|
|     | boy-<span style=""font-variant:small-caps;"">erg</span> | girl  | tip  | <span style=""font-variant:small-caps;"">3sg.hf</span>-do-<span style=""font-variant:small-caps;"">pst-3sg.hm</span> |
|     | A                                                     | P     |      | p-V-a                                                                                                            |
|     | ‘The boy pushed the girl.’ (BSKh-Val-SK:074)          |

| b.  | dasiːn-eːj                                                | kitaːb-eː                                              | tap                                                   | ʈʂaʈ | **eː**-tu-m-**u**                                                                                               |     |
|-----|-----------------------------------------------------------|--------------------------------------------------------|-------------------------------------------------------|------|-----------------------------------------------------------------------------------------------------------------|-----|
|     | girl-<span style=""font-variant:small-caps;"">erg</span>    | book-<span style=""font-variant:small-caps;"">gen</span> | leaf(<span style=""font-variant:small-caps;"">y</span>) | rip  | <span style=""font-variant:small-caps;"">3sg.y</span>-do-<span style=""font-variant:small-caps;"">pst-3sg.hf</span> |     |
|     | A                                                         |                                                        | P                                                     |      | p-V-a                                                                                                           |     |
|     | ‘The girl tore the page from the book.’ (BSKh-Val-SK:032) |

| c.  | guɕ-inants-eːj                                             | ʈeːbəl                                                 | saːf  | **eː**-tu-m-**an**                                                                                             |
|-----|------------------------------------------------------------|--------------------------------------------------------|-------|----------------------------------------------------------------------------------------------------------------|
|     | woman-<span style=""font-variant:small-caps;"">pl-erg</span> | table(<span style=""font-variant:small-caps;"">x</span>) | clean | <span style=""font-variant:small-caps;"">3sg.x</span>-do-<span style=""font-variant:small-caps;"">pst-3pl.h</span> |
|     | A                                                          | P                                                      |       | p-V-a                                                                                                          |
|     | ‘The women wiped the table.’ (BSKh-Val-SK:072)             |

| d.  | gus-eːj                                                 | ʁunoː                                                  | zan   | **oː**-tu-m-**u**                                                                                               |     |     |
|-----|---------------------------------------------------------|--------------------------------------------------------|-------|-----------------------------------------------------------------------------------------------------------------|-----|-----|
|     | woman-<span style=""font-variant:small-caps;"">erg</span> | seeds(<span style=""font-variant:small-caps;"">x</span>) | grind | <span style=""font-variant:small-caps;"">3pl.x</span>-do-<span style=""font-variant:small-caps;"">pst-3sg.hf</span> |     |     |
|     | A                                                       | P                                                      |       | p-V-a                                                                                                           |     |     |
|     | ‘The woman ground the seeds.’ (BSKh-Val-SK:071)         |

This feature was evidenced in only a small minority of the languages,
curiously spread out geographically. Apart from the isolate Burushaski,
in the northwest, this is also a feature of some of the Indo-Aryan
Pashai varieties in the southwest as well as in Indo-Aryan Kashmiri in
the southeast.",Clause structure
CS08,Verbal Person Agreement,"Verbal person marking on the inflected verb was investigated. The
presence of this feature is exemplified by Prasun in (1). The verb is
marked for person (and number) in agreement with the subject, in
intransitive and transitive clauses alike. The examples show different
marking for first person singular, first person plural, third person
singular, and third person plural.

(1) <span id=""_Ref12281344"" class=""anchor""></span>Prasun
\[prn\] (Nuristani)

| a.  | anzuː                                                 | kijur-an                                                   | aːtɕaːwo-**ma**                                            |     |
|-----|-------------------------------------------------------|------------------------------------------------------------|------------------------------------------------------------|-----|
|     | <span style=""font-variant:small-caps;"">1sg.nom</span> | child-<span style=""font-variant:small-caps;"">obl.pl</span> | help.<span style=""font-variant:small-caps;"">pst-1sg</span> |     |
|     | ‘I helped the boys.’ (PRN-Val-SM:015)                 |

| b.  | asə                                                   | kijur-luw-an                                                  | ʑitɕi | aːblijo-**mtɕa**                                           |     |     |
|-----|-------------------------------------------------------|---------------------------------------------------------------|-------|------------------------------------------------------------|-----|-----|
|     | <span style=""font-variant:small-caps;"">1pl.nom</span> | child-<span style=""font-variant:small-caps;"">pl-obl.pl</span> | book  | give.<span style=""font-variant:small-caps;"">pst-1pl</span> |     |     |
|     | ‘We gave the books to the children.’ (PRN-Val-SM:036) |

| c.  | iːʑeːŋ                             | amoːk-**sa**                                              |     |     |
|-----|------------------------------------|-----------------------------------------------------------|-----|-----|
|     | snake                              | die.<span style=""font-variant:small-caps;"">pst-3sg</span> |     |     |
|     | ‘The snake died.’ (PRN-Val-SM:061) |

| d.  | wədʑmiː-luːg                                                | baks-luw-an                                                 | mɑːrkiʈ | pan | pəmɕowo-**sta**                                             |     |
|-----|-------------------------------------------------------------|-------------------------------------------------------------|---------|-----|-------------------------------------------------------------|-----|
|     | man-<span style=""font-variant:small-caps;"">pl</span>        | box-<span style=""font-variant:small-caps;"">pl-obl.pl</span> | market  | to  | carry.<span style=""font-variant:small-caps;"">pst-3pl</span> |     |
|     | ‘The men carried the boxes to the market.’ (PRN-Val-SM:038) |

Verbal person agreement (in at least one tense-aspect category) is
present in most of the sample languages, as far as was possible to
determine.",Clause structure
CS09,Verbal Gender Agreement,"Verbal gender marking on the inflected verb was investigated. The
presence of this feature is exemplified by Sawi, in (1). The verb in
Sawi is marked for gender (and number) in agreement with the
intransitive subject or the transitive direct object. In (1a), the verb
agrees with the direct object ‘stick’ in feminine singular, in (1b) with
the direct object ‘women’ in feminine plural, in (1c) with the direct
object ‘(male) child’ in masculine singular, and in (1d) with the direct
object ‘books’ in masculine plural.

(1) <span id=""_Ref12281344"" class=""anchor""></span>Sawi
\[sdg\] (Indo-Aryan)

| a.  | mɑːnuʂ-eː                                             | ɖunɖik                                                 | ʑup-ɑːl-**i**                                              |     |
|-----|-------------------------------------------------------|--------------------------------------------------------|------------------------------------------------------------|-----|
|     | man<span style=""font-variant:small-caps;"">-obl</span> | stick(<span style=""font-variant:small-caps;"">f</span>) | make-<span style=""font-variant:small-caps;"">pfv-fsg</span> |     |
|     | ‘The man made a stick.’ (SDG-Val-FR:085)              |

| b.  | mɑːnuʂ-u                                                 | ɬiɽɛ                                                   | loːʈ-ɑːl-**ɛ**                                                                                                 |     |     |     |
|-----|----------------------------------------------------------|--------------------------------------------------------|----------------------------------------------------------------------------------------------------------------|-----|-----|-----|
|     | man<span style=""font-variant:small-caps;"">-obl.pl</span> | woman.<span style=""font-variant:small-caps;"">pl</span> | search.for-<span style=""font-variant:small-caps;"">pfv</span>-<span style=""font-variant:small-caps;"">fpl</span> |     |     |     |
|     | ‘The men searched for the women.’ (SDG-Val-FR:011)       |

| c.  | mɑːli                                          | tɑːnu                                              | mɑːɕum-eː                                                                                                | duw-ɑːl-**oː**                                             |
|-----|------------------------------------------------|----------------------------------------------------|----------------------------------------------------------------------------------------------------------|------------------------------------------------------------|
|     | mother                                         | <span style=""font-variant:small-caps;"">refl</span> | child(<span style=""font-variant:small-caps;"">m</span>)-<span style=""font-variant:small-caps;"">obl</span> | wash-<span style=""font-variant:small-caps;"">pfv-msg</span> |
|     | ‘The mother washed the baby.’ (SDG-Val-FR:012) |

| d.  | asi                                                   | laːw-u-ʈeː                                                     | kitaːb-a                                                                                               | dit-**eː**                                                 |     |     |
|-----|-------------------------------------------------------|----------------------------------------------------------------|--------------------------------------------------------------------------------------------------------|------------------------------------------------------------|-----|-----|
|     | <span style=""font-variant:small-caps;"">1pl.erg</span> | child-<span style=""font-variant:small-caps;"">obl.pl-dat</span> | book(<span style=""font-variant:small-caps;"">m</span>)-<span style=""font-variant:small-caps;"">pl</span> | give.<span style=""font-variant:small-caps;"">pfv-mpl</span> |     |     |
|     | ‘We gave the books to the children.’ (SDG-Val-FR:036) |

Verbal person agreement (in at least one tense-aspect category) is
present in a majority of the sample languages, including Burushaski and
most of the Indo-Aryan and Nuristani languages, while entirely excluding
Sino-Tibetan and Turkic. Geographically most of the languages displaying
this feature are found in the southern half of the region.",Clause structure
LX01a,Kinship: F=FB,"Some languages display a certain kind of polysemy pattern in which the
kinship term used for referring to an anchor’s father (F) is also used
for referring to a father’s brother (FB). Usually, that is done by
adding a modifying ‘big’ for a paternal uncle that is older than the
anchor’s father, and ‘little’ for a paternal uncle that is younger. This
pattern occurs in Balti, as can be seen in ‎(1).

(1) <span id=""_Ref12343426"" class=""anchor""></span>Balti
\[bft\] (Sino-Tibetan)

| a.  | ata           | ‘father’ (BFT-Kin-HS:001)                                           |
|-----|---------------|---------------------------------------------------------------------|
| b.  | ata tɕʰoʁo    | ‘father’s older brother’ \[lit. big father\] (BFT- Kin-HS:022)      |
| c.  | ata tsʰuntseː | ‘father’s younger brother’ \[lit. little father\] (BFT- Kin-HS:023) |

The feature occurs in approximately a third of the sample, essentially
in a central belt stretching through the geographical core of the region
from west to east. This polysemy is sometimes in addition to a general
term for a paternal uncle, lexically distinct from the term for
‘father’.",Lexicon
LX01b,Kinship: FB=MB,"In some languages the same kinship term is used for referring to an
anchor’s father’s brother (FB) as the one used for referring to the
mother’s brother (MB). This pattern occurs in Munji, as can be seen in
‎(1). This term is also lexically distinct from the term for ‘father’.

(1) <span id=""_Ref12343426"" class=""anchor""></span>Munji
\[mnj\] (Iranian)

| a.  | tɑːt | ‘father’ (MNJ-Kin-DM:001)            |
|-----|------|--------------------------------------|
| b.  | bɑːj | ‘father’s brother’ (MNJ- Kin-DM:021) |
| c.  | bɑːj | ‘mother’s brother’ (MNJ- Kin-DM:027) |

The feature is a minority pattern in the region, but it occurs in a few
geographically clustered languages in the central part of the Hindu
Kush. The languages in question are not all closely related to one
another.",Lexicon
LX01c,Kinship: M=MZ,"Some languages display a certain kind of polysemy pattern in which the
kinship term used for referring to an anchor’s mother (M) is also used
for referring to a mother’s sister (MZ). Usually, that is done by adding
a modifying ‘big’ for a maternal aunt that is older than the anchor’s
mother, and ‘little’ for a maternal aunt that is younger. This pattern
occurs in Waigali, as can be seen in ‎(1).

(1) <span id=""_Ref12343426"" class=""anchor""></span>Waigali
\[wbk\] (Nuristani)

| a.  | jej         | ‘mother’ (WBK-Kin-SR:002)                                         |
|-----|-------------|-------------------------------------------------------------------|
| b.  | dyʂʈøː jej  | ‘mother’s older sister’ \[lit. big mother\] (WBK-Kin-SR:031)      |
| c.  | kønɕtøː jej | ‘mother’s younger sister’ \[lit. little mother\] (WBK-Kin-SR:032) |

The feature occurs in a minority of the sample languages but it has a
distinctly subareal distribution. It occurs, on the one hand in Eastern
Nuristan, and on the other, in Eastern Karakorum. This polysemy is in
some of those languages in addition to a general term for a maternal
aunt, lexically distinct from the term for ‘mother’. In other cases, the
polysemy also extends to the anchor’s father’s sister.",Lexicon
LX01d,Kinship: MZ=FZ,"In some languages, the same kinship term is used for referring to an
anchor’s mother’s sister (MZ) as for referring to father’s sister (FZ).
This pattern occurs in Alasai Pashai, as can be seen in ‎(1). This term
is lexically distinct from the term for ‘mother’.

(1) <span id=""_Ref12343426"" class=""anchor""></span>Alasai Pashai
\[psh(ai)\] (Indo-Aryan)

| a.  | aːjə    | ‘mother’ (PSHai-Kin-KD:002)          |
|-----|---------|--------------------------------------|
| b.  | maːmbiː | ‘mother’s sister’ (PSHai-Kin-KD:030) |
| c.  | maːmbiː | ‘father’s sister’ (PSHai-Kin-KD:024) |

This pattern also exists in Korangali Pashai. Here, however, the
polysemy includes the anchor’s mother, maternal aunts, and paternal
aunts, alike, as can be seen in ‎(2).

(1) <span id=""_Ref12531505"" class=""anchor""></span>Korangali Pashai
\[aee(kg)\] (Indo-Aryan)

| a.  | aːj         | ‘mother’ (AEEkg-Kin-AM:002)                                         |
|-----|-------------|---------------------------------------------------------------------|
| b.  | kaniɕti aːj | ‘father’s sister’ \[lit. little mother\] (AEEkg-Kin-AM:024)         |
| c.  | aːj         | ‘mother’s sister’ \[lit. mother\] (AEEkg-Kin-AM:030)                |
| d.  | kaniɕti aːj | ‘mother’s younger sister’ \[lit. little mother\] (AEEkg-Kin-AM:032) |
| e.  | ɖəɕti aːj   | ‘mother’s older sister’ \[lit. big mother\] (AEEkg-Kin-AM:031)      |

The feature occurs in approximately a fourth of the sample. It has a
distinctly subareal distribution, occurring in a geographical belt
stretching from the region’s southwestern corner to the region’s
northeastern corner.",Lexicon
LX01e,Kinship: MB=FZ,"In some languages the same kinship term is used for referring to an
anchor’s mother’s brother (MB) as the one used for referring to the
father’s sister (FZ), i.e. both parents’ different-sex siblings. This
pattern occurs in Nagar Burushaski, as can be seen in ‎(1). This term is
lexically distinct from the terms for the anchor’s parents and for their
same-sex siblings.

(1) <span id=""_Ref12531505"" class=""anchor""></span>Nagar Burushaski
\[bsk(n)\] (isolate)

| a.  | nana      | ‘mother’s brother’ (BSKn-Kin-SD:027)                                |
|-----|-----------|---------------------------------------------------------------------|
| b.  | nana      | ‘father’s sister’ (BSKn-Kin-SD:024)                                 |
| c.  | aɰa       | ‘father’ \[lit. little mother\] (BSKn-Kin-SD:001)                   |
| d.  | ujum aɰa  | ‘father’s older brother’ \[lit. big father\] (BSKn-Kin-SD:022)      |
| e.  | dʑuʈ aɰa  | ‘father’s younger brother’ \[lit. little father\] (BSKn-Kin-SD:023) |
| f.  | mama      | ‘mother’ \[lit. big mother\] (BSKn-Kin-SD:002)                      |
| g.  | ujum mama | ‘mother’s older sister’ \[lit. big mother\] (BSKn-Kin-SD:031)       |
| h.  | dʑuʈ mama | ‘mother’s younger sister’ \[lit. little mother\] (BSKn-Kin-SD:032)  |

In the Hindu Kush sample, it is a feature exclusive of the two
Burushaski varieties.",Lexicon
LX02a,Decimal Numeral Base,"One aspect of numeral expressions is the multiplicational base that is
used. Some languages use a decimal numeral base: the general structure
of numerals in those languages is *m10+n* (the actual order of elements
being disregarded; however, see Numeral Composition 10+n and Numeral
Composition 20+n, for a discussion on sequencing), meaning that some
lower numeral *m* is a multiplier of 10 (or an element that is derived
from it) added to it by some other lower numeral *n* as a typical way of
forming numerals above ten. When categorizing a language as using a
decimal base, the overall structure of forming numbers up to 99 has been
taken as diagnostic. The existence of a lexeme ‘20’ without any obvious
derivational relationship to any other numeral or numeral base has not
been regarded as counterevidence as long as ‘20’ is not routinely used
as a recurring element for forming numbers beyond the interval 20-29
(see Vigesimal Numeral Base). Sanjan Pashai, as displayed in ‎(1), is an
example of a language using a decimal base. However, the numerals ‘40’,
‘50’, etc., are obvious Persian loan forms, setting the language off
from some of its closest relatives that apply a vigesimal system.

(1) <span id=""_Ref12343426"" class=""anchor""></span>Sanjan Pashai
\[glh(sn)\] (Indo-Aryan)

| ‘6’  | ʂɛ         | lower numeral n=6     | ‘46’  | tɕele ʂɛ     | 4x(10)+6               |
|------|------------|-----------------------|-------|--------------|------------------------|
| ‘10’ | *dɑː*      | decimal base 10       | ‘50’  | *pendʑɑː*    | 5x(10)                 |
| ‘16’ | *ʂuj*      | n+(10)                | ‘60’  | *ɕæːst*      | 6x(10)                 |
| ‘20’ | *wəst*     | non-derived lexeme 20 | ‘70’  | *haːftɑːd*   | 7x(10)                 |
| ‘26’ | *wəstə ʂɛ* | 20+6                  | ‘80’  | *haːɕtɑːd*   | 8x(10)                 |
| ‘30’ | *triju*    | 3x(10)                | ‘90’  | *nawad*      | 9x(10)                 |
| ‘36’ | *triju ʂɛ* | 3x(10)+6              | ‘100’ | *sad*        | non-derived lexeme 100 |
| ‘40’ | *tɕel*     | 4x(10)                | ‘110’ | *iː sadu dɛ* | 1x100+10               |

A decimal base is present in approximately a third of the sample,
essentially in its peripheral western and southern parts.",Lexicon
LX02b,Vigesimal Numeral Base,"One aspect of numeral expressions is the multiplicational base that is
used. Some languages use a vigesimal numeral base: the general structure
of numerals in those languages is *m20+n* (the actual order of elements
being disregarded; however, see Numeral Composition 10+n and Numeral
Composition 20+n, for a discussion on sequencing), meaning that some
lower numeral *m* is a multiplier of 20 (or an element that is derived
from it) added to it by some other numeral *n* (in the range 1-19) as a
typical way of forming numerals above twenty. When categorizing a
language as using a vigesimal base, the overall structure of forming
numbers up to 99 has been taken as diagnostic. ‘20’ is thus routinely
used as a recurring element for forming numbers beyond the interval 1-19
(see Decimal Numeral Base). No attempt has been made to distinguish pure
vigesimal from hybrid vigesimal-decimal along the lines of WALS, as
there is in most cases no such clear-cut treatment between numbers below
100 and above 100. Shemal Pashai, as displayed in ‎(1), is an example of
a language using a vigesimal base.

(1) <span id=""_Ref12343426"" class=""anchor""></span>Shemal Pashai
\[aee(sh)\] (Indo-Aryan)

| ‘6’  | tɕʰə         | numeral n=6       | ‘46’  | dijɑ̃ːbi tɕʰə       | 2x(10)+6  |
|------|--------------|-------------------|-------|--------------------|-----------|
| ‘10’ | *daːj*       | numeral n=10      | ‘50’  | *dijɑ̃ːbi daːj*     | 2x(20)+10 |
| ‘16’ | *səɽ*        | numeral n=16      | ‘60’  | *ɬejɑ̃ː*            | 3x(20)    |
| ‘20’ | *wiːst*      | vigesimal base 20 | ‘70’  | *ɬejɑ̃ːbi daːj*     | 3x(20)+10 |
| ‘26’ | *wistə tɕəː* | 20+6              | ‘80’  | *t͡soːrijɑ̃ː*        | 4x(20)    |
| ‘30’ | *wistə daːj* | 20+10             | ‘90’  | *t͡soːrijɑ̃ːbi daːj* | 4x(20)+10 |
| ‘36’ | *wistə səɽ*  | 20+16             | ‘100’ | *paːnjɑ̃ː*          | 5x(20)    |
| ‘40’ | *dijɑ̃ː*      | 2x(20)            | ‘110’ | *paːnjɑ̃ːbi daːj*   | 5x(20)+10 |

A vigesimal base is present in approximately two thirds of the sample,
essentially constituting the overall dominant system in its central
parts.",Lexicon
